city,season,metric,pre_status,pre_action,pre_stored_bias_c,pre_recomputed_bias_c,pre_delta_bias_c,pre_stored_sd_c,pre_recomputed_sd_c,pre_n_live,pre_n_prior,pre_n_paired,pre_reason,post_status,post_authority,post_stored_bias_c,post_stored_sd_c,post_n_live,post_n_prior,post_n_paired,post_stored_paired_delta_c,post_recomputed_bias_c,post_recomputed_sd_c,post_coverage_months_observed,post_delta_bias_c,post_fit_signature_hash,delta_bias_pre_to_post_stored,pre_sign_flip_vs_recompute,transition_class,notes
Chengdu,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-0.34460886353922293,-0.7356144356899584,-0.3910055721507355,2.194321935627678,2.1218336488160485,15,46,2,pregate_ungated_paired_delta delta_bias=-0.3910 paired_delta_mean=+0.3910,REPRODUCIBLE,STAGING,-0.7356144356899584,2.194321935627678,14,46,,,-0.7356144356899584,2.194321935627678,"3,4,5",0.0,92aa47c8bcca8118,-0.391,no,FIXED_NONREPR_TO_REPR,
Chicago,DJF,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-1.4463510525771766,-1.4463510525771766,0.0,1.369591511601212,1.369591511601212,0,40,0,within_tolerance,REPRODUCIBLE,STAGING,-1.4463510525771766,1.369591511601212,0,40,,,-1.4463510525771766,1.369591511601212,"1,2,12",0.0,c32e17f3cc0bcbc6,0.0,no,STABLE_REPR,
Chicago,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-2.273080773803233,-2.2157626779838404,0.0573180958193924,1.853565512993576,1.792353835320067,16,69,5,bias_diff delta_bias=+0.0573,REPRODUCIBLE,STAGING,-2.273080773803233,1.853565512993576,15,68,,,-2.273080773803233,1.853565512993576,"3,4,5",0.0,e3b3294290834bcf,0.0,no,FIXED_NONREPR_TO_REPR,
Chongqing,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-0.25428732157110506,0.2637256789171744,0.5180130004882795,2.0007594541483638,1.928016100309348,15,47,2,pregate_ungated_paired_delta delta_bias=+0.5180 paired_delta_mean=-0.5180,REPRODUCIBLE,STAGING,0.2637256789171744,2.0007594541483638,14,47,,,0.2637256789171744,2.0007594541483638,"3,4,5",0.0,345c2db8c99245cb,0.518,yes,FIXED_NONREPR_TO_REPR,pre-sd3-sign-flip-detected
Dallas,DJF,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-1.2004916227015754,-1.2004916227015754,0.0,1.5679715131019747,1.5679715131019747,0,77,0,within_tolerance,REPRODUCIBLE,STAGING,-1.2004916227015754,1.5679715131019747,0,77,,,-1.2004916227015754,1.5679715131019747,"1,2,12",0.0,66cedc719120bfe9,0.0,no,STABLE_REPR,
Dallas,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-10.020718510616314,-0.1469766127341165,9.873741897882198,2.118128229981513,2.0128258096884903,15,65,1,pregate_ungated_paired_delta delta_bias=+9.8737 paired_delta_mean=-9.8737,REPRODUCIBLE,STAGING,-0.1469766127341165,2.118128229981513,13,65,,,-0.1469766127341165,2.118128229981513,"3,4,5",0.0,eab2334f5d67f2c9,9.8737,no,FIXED_NONREPR_TO_REPR,large-pre-delta=+9.874C
Denver,DJF,high,COVERAGE_MISLABELED,D_MONTH_SCOPE,-2.6320920657488047,-2.6320920657488047,0.0,1.4630519156156643,1.4630519156156643,0,2,0,"coverage_months=(12,) expected=(1, 2, 12)",INSUFFICIENT_PRIOR,STAGING,0.0,3.0,0,2,,,,,12,,08bea66cbb5eb93a,2.6321,no,COV_MISLABELED_TO_INSUFFICIENT_PRIOR,
Denver,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,0.8670239132437061,-1.2682706831104604,-2.1352945963541665,1.4172290648048274,1.4025951959484972,15,43,1,pregate_ungated_paired_delta delta_bias=-2.1353 paired_delta_mean=+2.1353,REPRODUCIBLE,STAGING,-1.2682706831104604,1.4172290648048274,15,43,,,-1.2682706831104604,1.4172290648048274,"3,4,5",0.0,cdd3b0e0bd7480b9,-2.1353,yes,FIXED_NONREPR_TO_REPR,large-pre-delta=-2.135C;pre-sd3-sign-flip-detected
Guangzhou,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-2.7922113489221405,-0.873362675419535,1.9188486735026054,2.3165364410976053,2.152582990826449,15,22,1,pregate_ungated_paired_delta delta_bias=+1.9188 paired_delta_mean=-1.9188,REPRODUCIBLE,STAGING,-0.873362675419535,2.3165364410976053,13,22,,,-0.873362675419535,2.3165364410976053,"4,5",0.0,800850d02ac03021,1.9188,no,FIXED_NONREPR_TO_REPR,large-pre-delta=+1.919C
Helsinki,MAM,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-0.47269763515004093,-0.47269763515004093,0.0,1.1527486091421526,1.1391065655730614,15,32,0,within_tolerance,REPRODUCIBLE,STAGING,-0.47269763515004093,1.1527486091421526,13,32,,,-0.47269763515004093,1.1527486091421526,"4,5",0.0,761d0d123c63f6ce,0.0,no,STABLE_REPR,
Hong Kong,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-2.1082374738096545,0.6268801205913846,2.7351175944010393,1.3557695809394752,1.3557695809394752,0,46,1,pregate_ungated_paired_delta delta_bias=+2.7351 paired_delta_mean=-2.7351,REPRODUCIBLE,STAGING,0.6268801205913846,1.3557695809394752,0,46,,,0.6268801205913846,1.3557695809394752,"3,4,5",0.0,c6eed2a5b981b037,2.7351,yes,FIXED_NONREPR_TO_REPR,large-pre-delta=+2.735C;pre-sd3-sign-flip-detected
